"from","to","weight"
1,13,11
1,24,36
1,33,13
1,34,30
1,47,16
1,50,13
1,54,57
1,55,107
1,62,33
1,72,37
1,84,12
1,85,79
1,90,11
1,92,14
1,99,11
1,100,12
2,10,15
2,20,11
2,26,58
2,33,32
2,34,17
2,42,11
2,47,86
2,63,40
2,86,19
3,9,18
3,11,122
3,53,13
4,38,17
4,47,12
4,53,59
5,55,11
5,76,17
5,78,22
5,84,39
5,88,13
6,15,14
6,34,28
6,47,39
6,67,12
6,75,74
7,17,11
7,44,31
7,68,11
7,69,12
8,20,11
8,34,16
9,3,11
9,11,32
9,15,17
9,24,20
9,34,22
9,39,24
9,47,14
9,53,14
9,88,12
10,20,21
10,21,19
10,26,12
10,43,23
10,53,12
11,3,182
11,9,45
11,14,18
11,21,11
11,53,26
12,22,51
12,30,27
12,33,13
12,46,43
12,53,11
12,80,13
13,1,20
13,20,12
13,29,11
13,33,14
13,34,81
13,44,19
13,47,27
13,90,33
14,9,45
14,11,22
14,15,68
14,53,17
14,56,89
14,58,67
14,80,12
15,9,44
15,14,83
15,21,34
15,24,11
15,26,12
15,34,16
15,53,15
15,56,22
15,58,28
15,75,13
16,2,12
16,33,212
16,44,42
16,45,25
16,73,11
16,89,13
16,91,13
17,31,13
17,47,19
17,52,12
17,56,16
17,64,12
17,75,23
18,20,20
18,29,19
18,33,12
18,46,11
18,53,37
18,68,11
18,94,13
19,11,15
19,42,20
19,92,11
19,97,21
20,2,15
20,10,14
20,13,13
20,18,40
20,24,45
20,29,45
20,34,16
20,36,56
20,39,82
20,56,14
20,80,14
21,10,19
21,15,13
21,26,14
21,34,13
21,47,14
21,52,14
21,53,36
21,56,16
22,12,68
22,30,12
22,35,18
22,42,18
22,47,11
22,68,13
22,76,11
22,79,24
23,13,29
23,47,18
24,1,41
24,9,30
24,27,31
24,34,89
24,72,40
25,33,28
25,41,35
25,47,13
26,2,63
26,30,23
26,34,15
26,47,41
26,75,19
27,9,11
27,18,11
27,24,78
27,34,68
27,60,20
28,53,14
28,64,15
28,74,12
28,76,19
28,77,16
28,91,20
29,18,16
29,20,28
29,33,11
29,46,11
29,68,11
30,12,25
30,26,16
30,46,24
30,47,33
30,51,11
30,53,24
30,76,64
30,93,12
32,42,28
32,46,14
32,79,20
32,98,35
33,2,49
33,9,16
33,12,13
33,13,22
33,16,210
33,18,11
33,20,11
33,25,17
33,29,17
33,30,18
33,34,20
33,42,46
33,43,11
33,44,67
33,45,106
33,46,70
33,47,12
33,53,15
33,63,41
33,64,12
33,68,31
33,69,23
33,70,67
33,73,48
33,82,19
33,86,62
33,87,16
33,89,62
33,90,18
33,91,38
34,1,15
34,2,12
34,6,35
34,8,11
34,9,16
34,13,41
34,20,15
34,24,57
34,27,26
34,33,18
34,39,16
34,47,108
34,51,15
34,53,12
34,67,32
34,75,23
34,90,49
34,94,17
35,22,13
35,68,31
36,20,50
36,39,56
36,50,20
36,59,11
36,100,20
37,46,181
37,87,91
38,4,16
38,33,11
38,43,154
38,53,12
38,66,114
39,9,16
39,18,16
39,20,108
39,24,11
39,34,15
39,36,64
39,50,27
39,100,56
40,42,14
40,44,11
40,47,31
40,48,45
40,57,15
41,25,31
41,95,39
41,96,25
42,2,11
42,18,15
42,19,29
42,22,14
42,32,27
42,33,36
42,46,41
42,51,16
42,61,17
42,63,54
42,64,20
42,70,12
42,76,21
42,79,17
42,87,18
42,97,47
42,98,17
43,10,11
43,33,12
43,38,121
43,66,53
44,7,14
44,13,23
44,16,19
44,33,18
44,42,11
44,46,120
44,61,14
45,13,13
45,16,23
45,33,108
46,12,24
46,18,16
46,25,11
46,30,18
46,32,25
46,33,57
46,34,28
46,37,90
46,42,32
46,44,122
46,51,39
46,61,127
46,87,88
46,93,48
47,1,17
47,2,55
47,6,24
47,13,21
47,17,27
47,22,13
47,25,17
47,26,30
47,30,20
47,34,93
47,40,27
47,48,17
47,53,55
47,63,12
47,67,91
47,68,18
47,74,12
47,75,167
47,84,11
47,88,107
47,90,12
48,8,19
48,34,14
48,40,32
48,93,20
49,9,11
49,14,12
49,76,11
50,1,17
50,18,16
50,29,11
50,36,23
50,39,24
50,52,17
50,59,13
50,72,59
